task,seed,candidate_id,family,lambda,selected_groups,selected_features,cost,n_groups,n_features,train_objective,stationarity,converged,iterations,warmup_iterations,val_bce,val_auroc,val_ap,method,alpha,validation_objective,test_bce,test_auroc,test_ap
nonlinear_interaction,51967,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6918414403280778,0.5275265195576312,0.5297754361494794,logistic_cost_weighted,0.001,0.6918414403280778,0.6928500395129061,0.5105817809336968,0.5202274905691648
nonlinear_interaction,51967,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6918414403280778,0.5275265195576312,0.5297754361494794,logistic_cost_weighted,0.003,0.6918414403280778,0.6928500395129061,0.5105817809336968,0.5202274905691648
nonlinear_interaction,51967,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6918414403280778,0.5275265195576312,0.5297754361494794,logistic_cost_weighted,0.01,0.6918414403280778,0.6928500395129061,0.5105817809336968,0.5202274905691648
nonlinear_interaction,51967,mlp_all,mlp_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.19330565464637608,0.0017472721500008145,False,1500,0,1.012761917566973,0.7424087223736523,0.7365212485418784,mlp_all,,,0.9551352572967661,0.7564541051059914,0.7496898360281176
nonlinear_interaction,51967,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.692235552069163,0.00021914793687047255,False,1500,0,0.6915629585153644,0.5273702668449105,0.5292465187292775,mlp_free,,,0.6936436691490864,0.5079602076424938,0.5160241043343433
nonlinear_interaction,51967,logistic_all,logistic_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.698161934900383,0.5001302105939339,0.4991915866800929,logistic_all,,,0.6953377775797293,0.5239500685775794,0.5249587517202035
nonlinear_interaction,51967,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6918414403280778,0.5275265195576312,0.5297754361494794,logistic_free,,,0.6928500395129061,0.5105817809336968,0.5202274905691648
linear_control,51968,mlp_uniform_4,mlp_uniform,0.03,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.5009012008479116,0.006765800387063158,False,1500,1500,0.42123213311629176,0.8925022583559169,0.8889860371853956,mlp_uniform,0.0,0.42123213311629176,0.4365460571411242,0.8787336449410088,0.892201660232761
linear_control,51968,mlp_uniform_5,mlp_uniform,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5371407010591809,0.00498499818135967,False,1500,1500,0.42975942853367766,0.8944826627753457,0.8906514816478833,mlp_uniform,0.0005,0.44475942853367767,0.4439055705980604,0.8809403833121926,0.8926790308798316
linear_control,51968,mlp_uniform_5,mlp_uniform,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5371407010591809,0.00498499818135967,False,1500,1500,0.42975942853367766,0.8944826627753457,0.8906514816478833,mlp_uniform,0.001,0.4597594285336777,0.4439055705980604,0.8809403833121926,0.8926790308798316
linear_control,51968,mlp_uniform_5,mlp_uniform,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5371407010591809,0.00498499818135967,False,1500,1500,0.42975942853367766,0.8944826627753457,0.8906514816478833,mlp_uniform,0.003,0.5197594285336776,0.4439055705980604,0.8809403833121926,0.8926790308798316
linear_control,51968,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.6920149738544399,9.959465414516364e-05,True,1094,0,0.6940238867156141,0.5044645959280106,0.5180948636039087,mlp_uniform,0.01,0.6940238867156141,0.694872358065756,0.5014856388246945,0.5300646546690557
linear_control,51968,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.48903951426648523,0.0024717067359373754,False,1500,1500,0.4217329885154913,0.8933882287540824,0.8896119121289064,mlp_cost_weighted,0.0,0.4217329885154913,0.4369200846115735,0.8805581136730899,0.8924202976372736
