task,seed,mask_id,selected_groups,selected_features,n_groups,n_features,cost,in_path_with_boundaries,refit_gradient_inf,val_bce,val_auroc,val_ap
synthetic_expensive_signal,51966,28,"[2, 3, 4]","[0, 1, 8, 9, 10, 11, 12, 13, 14, 15, 16]",3,11,185.0,False,1.5387953876210394e-09,0.45395200678750386,0.8664245640989827,0.8515477628963033
synthetic_expensive_signal,51966,29,"[0, 2, 3, 4]","[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16]",4,14,195.0,False,7.832549627574724e-09,0.45511446648457105,0.8663159283314322,0.8507537706321753
synthetic_expensive_signal,51966,30,"[1, 2, 3, 4]","[0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",4,14,205.0,True,2.0333550521184862e-09,0.4550627452351457,0.8662538507499749,0.8504002274715592
synthetic_expensive_signal,51966,31,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",5,17,215.0,False,2.5121956464401488e-09,0.4563224676511676,0.8659357031450056,0.8492496717612089
synthetic_expensive_signal,51966,32,[5],"[0, 1, 17, 18, 19]",1,5,140.0,False,4.008919343340719e-10,0.6838689977424193,0.5683202582427388,0.49999863367248065
synthetic_expensive_signal,51966,33,"[0, 5]","[0, 1, 2, 3, 4, 17, 18, 19]",2,8,150.0,False,3.6729079843090783e-09,0.683991090155233,0.5677848391026685,0.4976175598266621
synthetic_expensive_signal,51966,34,"[1, 5]","[0, 1, 5, 6, 7, 17, 18, 19]",2,8,160.0,False,2.0057714217241665e-09,0.6845331700866419,0.5642386572619131,0.49880187276833987
synthetic_expensive_signal,51966,35,"[0, 1, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 17, 18, 19]",3,11,170.0,False,2.615845101606547e-09,0.6846831701536789,0.5635480441681991,0.4980766596848236
synthetic_expensive_signal,51966,36,"[2, 5]","[0, 1, 8, 9, 10, 17, 18, 19]",2,8,175.0,False,1.6670735304219952e-09,0.6211741718101168,0.7078318628706226,0.6686935785905973
synthetic_expensive_signal,51966,37,"[0, 2, 5]","[0, 1, 2, 3, 4, 8, 9, 10, 17, 18, 19]",3,11,185.0,False,3.815949877000139e-09,0.6212387701467683,0.7083440029176463,0.6689984372265695
