task,seed,lambda,lambda_max_fraction,mask_id,selected_groups,cost,objective,kkt_residual,iterations,converged
synthetic_free_signal,51967,6.950167661842249e-05,0.005734744701566264,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46670764345045396,8.732510793651425e-08,26,True
synthetic_free_signal,51967,6.0597010185510356e-05,0.005,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4666985883084491,9.001844221091849e-08,25,True
synthetic_free_signal,51967,0.0,0.0,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4666366740467485,9.757972699007559e-08,36,True
synthetic_cheap_signal,51968,0.15018653099692755,1.05,0,[],0.0,0.6766627254275316,5.193194141441399e-08,16,True
synthetic_cheap_signal,51968,0.1309443914355148,0.9154723136264682,1,[0],10.0,0.6757132934862745,7.588664146016415e-08,15,True
synthetic_cheap_signal,51968,0.11416758569893394,0.7981805304919987,1,[0],10.0,0.671161124767245,8.668863295543158e-08,17,True
synthetic_cheap_signal,51968,0.09954025125804869,0.6959163589915349,3,"[0, 1]",30.0,0.6639501445404461,7.369703701408886e-08,19,True
synthetic_cheap_signal,51968,0.08678699439825314,0.6067544373871318,3,"[0, 1]",30.0,0.6540111208554388,6.894293919767363e-08,21,True
synthetic_cheap_signal,51968,0.07566770528995824,0.5290160843789748,3,"[0, 1]",30.0,0.6417131776691193,7.577920152766553e-08,23,True
synthetic_cheap_signal,51968,0.06597303736057505,0.46123769401146186,3,"[0, 1]",30.0,0.6279613356920973,9.19702317538231e-08,25,True
synthetic_cheap_signal,51968,0.057520465856620066,0.4021431798746762,3,"[0, 1]",30.0,0.6134308395922212,7.745234706706745e-08,28,True
synthetic_cheap_signal,51968,0.05015085138917356,0.35061994979902356,3,"[0, 1]",30.0,0.5986274896288706,7.3511252993037e-08,31,True
synthetic_cheap_signal,51968,0.043725443763413224,0.3056979587105792,3,"[0, 1]",30.0,0.5839284624132486,7.53629136814678e-08,34,True
synthetic_cheap_signal,51968,0.03812326968231993,0.26653144526825,3,"[0, 1]",30.0,0.5696111953349824,8.066052355580968e-08,37,True
