task,seed,mask_id,selected_groups,selected_features,n_groups,n_features,cost,in_path_with_boundaries,refit_gradient_inf,val_bce,val_auroc,val_ap,method,alpha,validation_objective,truth_groups,test_bce,test_auroc,test_ap
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,enumerated_refit,0.005,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,group_lasso_path_refit,0.01,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,enumerated_refit,0.01,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,group_lasso_path_refit,0.02,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,enumerated_refit,0.02,0.4753622480849146,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,0,[],"[0, 1]",0,2,0.0,True,6.167782128651277e-12,0.4753622480849146,0.8499733299865081,0.8077787892262467,free_only,,,[],0.5188901859115457,0.8166985660945687,0.7752945246079428
synthetic_free_signal,51966,63,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",6,20,355.0,True,1.0356614242871763e-08,0.4735894541593197,0.8516755043770198,0.8105837536106284,all_checks,,,[],0.5256242339123709,0.8133334379216216,0.7741798424672905
synthetic_cheap_signal,51967,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,True,1.0091016925463684e-09,0.3834048305777613,0.907241050232272,0.8775559596901386,group_lasso_path_refit,0.0,0.3834048305777613,"[0, 1]",0.4108171805893516,0.8924788803429581,0.8622441854397818
synthetic_cheap_signal,51967,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,True,1.0091016925463684e-09,0.3834048305777613,0.907241050232272,0.8775559596901386,enumerated_refit,0.0,0.3834048305777613,"[0, 1]",0.4108171805893516,0.8924788803429581,0.8622441854397818
synthetic_cheap_signal,51967,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,True,1.0091016925463684e-09,0.3834048305777613,0.907241050232272,0.8775559596901386,group_lasso_path_refit,0.00025,0.3909048305777613,"[0, 1]",0.4108171805893516,0.8924788803429581,0.8622441854397818
