task,seed,candidate_id,family,lambda,selected_groups,selected_features,cost,n_groups,n_features,train_objective,stationarity,converged,iterations,warmup_iterations,val_bce,val_auroc,val_ap,gt_groups,gt_cost,information_sufficient,exact_gt,missing_groups,extra_groups,n_missing,n_extra,actual_cost,unnecessary_spend,excess_cost_if_sufficient
linear_control,51967,logistic_cost_weighted_2,logistic_cost_weighted,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.45373352827935015,0.8681505660115287,0.8663531812344474,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51967,logistic_cost_weighted_3,logistic_cost_weighted,0.01,"[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",125.0,4,14,,,,,0,0.452568991961941,0.8690013195360791,0.8684931413200812,"[0, 1]",30.0,True,False,[],"[2, 3]",0,2,125.0,95.0,95.0
linear_control,51967,logistic_cost_weighted_4,logistic_cost_weighted,0.03,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,,,,,0,0.4564569166396769,0.8684457253975971,0.8680071444872962,"[0, 1]",30.0,True,True,[],[],0,0,30.0,0.0,0.0
linear_control,51967,logistic_cost_weighted_5,logistic_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,,,,,0,0.4811168901829409,0.8657198416556706,0.8663108065021355,"[0, 1]",30.0,True,True,[],[],0,0,30.0,0.0,0.0
nonlinear_interaction,51967,mlp_all,mlp_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.19330565464637608,0.0017472721500008145,False,1500,0,1.012761917566973,0.7424087223736523,0.7365212485418784,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51967,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.692235552069163,0.00021914793687047255,False,1500,0,0.6915629585153644,0.5273702668449105,0.5292465187292775,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
nonlinear_interaction,51967,mlp_uniform_1,mlp_uniform,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.22943043505863492,0.0003111775104557597,False,1500,1500,0.977645775317622,0.7420614941231618,0.7365440636896639,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51967,mlp_uniform_2,mlp_uniform,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.29640236277529036,0.0010914833533356683,False,1500,1500,0.8271463168229871,0.7669751210958523,0.7637805428162137,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51967,mlp_uniform_3,mlp_uniform,0.01,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.4489612158474612,0.002484566921792853,False,1500,1500,0.5766713516340914,0.8102223996944391,0.8146175598047041,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51967,mlp_uniform_4,mlp_uniform,0.03,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.5803861745162758,0.0067370148054226656,False,1500,1500,0.44294548950726537,0.8737651695341933,0.8861785889449891,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51967,mlp_uniform_5,mlp_uniform,0.1,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",65.0,3,11,0.764665991002696,0.006291133448783298,False,1500,1500,0.5256594993195197,0.862567058455876,0.8762699369535889,"[0, 1]",30.0,True,False,[],[2],0,1,65.0,35.0,35.0
nonlinear_interaction,51967,mlp_cost_weighted_1,mlp_cost_weighted,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.23335180005161466,0.0010501260243974693,False,1500,1500,0.9640070840072925,0.7456205836906891,0.7436340632004682,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
